,title,bag_of_words
20251,La cosa,horror mystery sci-fi usa johncarpenter research team shifting alien shape hunted assumes victims appearance antarctica 
70863,Mademoiselle,drama romance thriller southkorea chan-wookpark secretly handmaiden defraud plot japanese heiress woman involved hired 
36998,Amores perros,drama thriller mexico alejandrog.iã±ã¡rritu regret harsh realities loss involving characters dealing life love name horrific car accident connects three stories 
62264,Inside Out,animation adventure comedy usa petedocter ronniedelcarmen uprooted san francisco best emotions new city midwest life joy navigate moved anger disgust conflict school house young riley fear sadness 
38061,Alla ricerca di Nemo,animation adventure comedy usa australia andrewstanton leeunkrich captured sydney bring taken timid clownfish sets great barrier reef journey son home 
38067,Kill Bill - Volume 1,action crime thriller usa japan quentintarantino team betrayed assassins former assassin wreaks vengeance year coma awakening four 
60800,Il caso Spotlight,biography crime drama usa tommccarthy true story local catholic archdiocese child molestation massive scandal core boston globe uncovered within shaking cover entire church 
9584,Ben-Hur,adventure drama history usa williamwyler sent freedom jewish prince betrayed revenge roman friend regains comes back slavery 
37955,Prova a prendermi,biography crime drama usa canada stevenspielberg seasoned fbi agent pursues 
62452,La battaglia di Hacksaw Ridge,biography drama history australia usa melgibson world war ii american army medic 
68270,Logan - The Wolverine,action drama sci-fi usa jamesmangold quiet life weary logan leads mutants safety comes laura mutant child pursued elderly must get help future scientists nearly extinct 
16538,Barry Lyndon,adventure drama history uk usa stanleykubrick 18th rich widow assumes dead husband century england irish rogue wins aristocratic position heart 
50258,Mary and Max,animation comedy drama australia adamelliot two unlikely pen pals friendship severely obese man living tale new york melbourne eight suburbs year old forty mary lonely max girl four 
61690,12 anni schiavo,biography drama history usa uk stevemcqueen antebellum united states 
61373,Rush,action biography drama uk germany usa ronhoward merciless 1970s rivalry formula one rivals 
9806,I 400 colpi,crime drama france franã§oistruffaut delves young boy life left without attention petty crime 
61170,Le Mans '66 - La grande sfida,action biography drama usa jamesmangold american car designer 
